original,match,score,product,product_code
mantequilla_leche_vaca,mantequilla_de_leche_de_vaca,88,butter_cow_milk,886
leche_entera_condensada,leche_entera_condensada,100,milk_whole_condensed,889
leche_entera_evaporada,leche_entera_evaporada,100,milk_whole_evaporated,894
leche_vaca_ent_polvo,leche_entera_de_vaca_en_polvo,78,milk_whole_dried,897
queso_leche_ent_vaca_,queso_de_leche_entera_de_vaca,80,cheese_whole_cow_milk,901
huevos_de_gallina,huevos_de_gallina,100,eggs_hen_in_shell,1062
lana_grasienta,lana_grasa,83,wool_greasy,987
rice_husked,rice_husked,100,rice_husked,28
oats,oats,100,oats,75
cereals_nes,cereals_breakfast,71,cereals_breakfast,41
beans_dry,beans_dry,100,beans_dry,176
garlic,garlic,100,garlic,406
peas_green,peas_green,100,peas_green,417
applejuice_concentrated,juice_citrus_concentrated,75,juice_citrus_concentrated,514
wine,wine,100,wine,564
cheese_whole_cow_milk_,cheese_whole_cow_milk,98,cheese_whole_cow_milk,901
germ_of_maize,germ_maize,87,germ_maize,57
oil_of_maize,oil_maize,86,oil_maize,60
cake_of_maize,cake_maize,87,cake_maize,61
rye,rye,100,rye,71
flour_of_rye,flour_rice,73,flour_rice,38
oats_rolled,oats_rolled,100,oats_rolled,76
sorghum,sorghum,100,sorghum,83
triticale,triticale,100,triticale,97
canary_seed,canary_seed,100,canary_seed,101
flour_of_potatoes,flour_potatoes,90,flour_potatoes,117
peas_dry,peas_dry,100,peas_dry,187
chick_peas,chick_peas,100,chick_peas,191
vetches,vetches,100,vetches,205
flour_of_pulses,flour_pulses,89,flour_pulses,212
soybeans,soybeans,100,soybeans,236
oil_of_soya_beans,oil_soybean,79,oil_soybean,237
cake_of_soya_beans,cake_soybeans,84,cake_soybeans,238
groundnuts_shelled,groundnuts_shelled,100,groundnuts_shelled,243
oil_of_groundnuts,oil_groundnut,87,oil_groundnut,244
cake_of_groundnuts,cake_groundnuts,91,cake_groundnuts,245
prepared_groundnuts,nuts_prepared_exc_groundnuts_,79,nuts_prepared_exc_groundnuts_,235
rapeseed,rapeseed,100,rapeseed,270
oil_of_rapeseed,oil_rapeseed,89,oil_rapeseed,271
cake_of_rapeseed,cake_rapeseed,90,cake_rapeseed,272
oil_of_olive_residues,oil_olive_residues,92,oil_olive_residues,274
oil_of_safflower,oil_safflower,90,oil_safflower,281
cake_of_safflower,cake_safflower,90,cake_safflower,282
cake_of_mustard,cake_mustard,89,cake_mustard,294
asparagus,asparagus,100,asparagus,367
spinach,spinach,100,spinach,373
mushrooms,mushrooms_canned,72,mushrooms_canned,451
oranjuice_single_strengt,juice_apple_single_strength,78,juice_apple_single_strength,518
oranjuice_concentrated,juice_plum_concentrated,80,juice_plum_concentrated,539
lemonjuice_single_streng,juice_lemon_single_strength,75,juice_lemon_single_strength,498
lemonjuice_concentrated,juice_lemon_concentrated,77,juice_lemon_concentrated,499
grapefruit_and_pomelo,grapefruit_inc_pomelos_,86,grapefruit_inc_pomelos_,507
grapefruitjuice_concentr,juice_grapefruit_concentrated,72,juice_grapefruit_concentrated,510
applejuice_single_streng,juice_orange_single_strength,73,juice_orange_single_strength,491
quinces,quinces,100,quinces,523
cherries,cherries,100,cherries,531
strawberries,strawberries,100,strawberries,544
currants,currants,100,currants,550
pineapples_canned,pineapples_canned,100,pineapples_canned,575
coffee_subst_cont_coffee,coffee_substitutes_containing_coffee,80,coffee_substitutes_containing_coffee,658
coffee_extracts,coffee_extracts,100,coffee_extracts,659
cocoa_paste,cocoa_paste,100,cocoa_paste,662
cocoa_butter,cocoa_butter,100,cocoa_butter,664
cocoa_powder_and_cake,cocoa_powder_cake,89,cocoa_powder_cake,665
chocolate_products_nes,chocolate_products_nes,100,chocolate_products_nes,666
hops,hops,100,hops,677
cotton_linter,cotton_linter,100,cotton_linter,770
turkeys,turkeys,100,turkeys,1079
ducks,ducks,100,ducks,1068
horses,horses,100,horses,1096
cream_fresh,cream_fresh,100,cream_fresh,885
whole_milk_condensed,whey_condensed,76,whey_condensed,890
whole_milk_evaporated,milk_whole_evaporated,76,milk_whole_evaporated,894
milled_husked_rice,rice_milled_husked,72,rice_milled_husked,29
barley_pearled,barley_pearled,100,barley_pearled,46
bran_of_barley,beer_of_barley,86,beer_of_barley,51
maize_gluten,maize_green,78,maize_green,446
buckwheat,buckwheat,100,buckwheat,89
flour_of_mixed_grain,flour_mixed_grain,92,flour_mixed_grain,104
potatoes_frozen,potatoes_frozen,100,potatoes_frozen,118
lentils,lentils,100,lentils,201
chestnuts,chestnut,94,chestnut,220
pistachios,pistachios,100,pistachios,223
hazelnuts_shelled,hazelnuts_shelled,100,hazelnuts_shelled,233
coconuts_dessicated,coconuts_desiccated,95,coconuts_desiccated,250
flour_of_mustard,flour_mustard,90,flour_mustard,295
artichokes,artichokes,100,artichokes,366
leeks_and_oth_alliac_veg,leeks_other_alliaceous_vegetables,70,leeks_other_alliaceous_vegetables,407
vegetables_pr_by_vinegar,vegetables_in_vinegar,84,vegetables_in_vinegar,471
vegetables_frozen,vegetables_frozen,100,vegetables_frozen,473
gooseberries,gooseberries,100,gooseberries,549
blueberries,blueberries,100,blueberries,552
avocados,avocados,100,avocados,572
dates,dates,100,dates,577
persimmons,persimmons,100,persimmons,587
kiwi_fruit,kiwi_fruit,100,kiwi_fruit,592
coffee_roasted,coffee_roasted,100,coffee_roasted,657
tomatojuice_concentrated,juice_orange_concentrated,73,juice_orange_concentrated,492
tomato_paste,tomatoes_paste,92,tomatoes_paste,391
vegetables_prepared_nes,vegetables_preserved_nes,89,vegetables_preserved_nes,472
cotton_waste,cotton_waste,100,cotton_waste,769
tea,tea,100,tea,667
oil_of_rice_bran,oil_rice_bran,90,oil_rice_bran,36
cake_of_rice_bran,cake_rice_bran,90,cake_rice_bran,37
sugar_cane,sugar_nes,84,sugar_nes,167
sugar_noncentrifugal_,sugar_non_centrifugal,95,sugar_non_centrifugal,163
coconuts,coconuts,100,coconuts,249
oil_of_castor_beans,oil_castor_beans,91,oil_castor_beans,266
buffaloes,buffaloes,100,buffaloes,946
ghee_from_buffalo_milk_,ghee_buffalo_milk,85,ghee_buffalo_milk,953
riz_usiné_décortiqué,riz_usiné_décortiqué_,98,rice_milled_husked,29
farine_de_riz,farine_de_riz,100,flour_rice,38
orge_perlé,orge_perlé,100,barley_pearled,46
germe_de_maïs,germe_de_maïs,100,germ_maize,57
huile_de_maïs,huile_de_maïs,100,oil_maize,60
tourteaux_de_maïs,tourteaux_de_maïs,100,cake_maize,61
avoine_mondée,avoine_laminée,81,oats_rolled,76
mélanges_de_céréales,farine_de_céréales_nda,71,flour_cereals,111
farine_de_pommes_de_terr,farine_de_pommes_de_terre,98,flour_potatoes,117
pommes_terre_congelées,pommes_de_terre_surgelées,81,potatoes_frozen,118
noix_du_brésil,noix_du_brésil_écalées,78,brazil_nuts_shelled,229
châtaignes,châtaignes,100,chestnut,220
pistaches,pistaches,100,pistachios,223
