"regulation_code","regulation_name","regulation_short_name","comtrade_primary_code","commodity_short_name","hs_4d_code","hs_4d_name","hs_6d_code","hs_6d_name","fao_code","fao_name","bp","fao_parent_code","fao_primary_code","in_mapping_table","match"
"1806","Chocolate and other food preparations containing cocoa","Chocolate","18010000","Cocoa","1806","Chocolate and other food preparations containing cocoa","180620","Chocolate & other food preparations containing cocoa; in blocks, slabs or bars weighing more than 2kg or in liquid, paste, powder, granular or other bulk form in containers or immediate packings, content exceeding 2kg","666","Chocolate products nes","0","665","661","1","partial"
"1806","Chocolate and other food preparations containing cocoa","Chocolate","18010000","Cocoa","1806","Chocolate and other food preparations containing cocoa","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","666","Chocolate products nes","0","665","661","1","partial"
"1806","Chocolate and other food preparations containing cocoa","Chocolate","18010000","Cocoa","1806","Chocolate and other food preparations containing cocoa","180632","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less","666","Chocolate products nes","0","665","661","1","partial"
"1806","Chocolate and other food preparations containing cocoa","Chocolate","18010000","Cocoa","1806","Chocolate and other food preparations containing cocoa","180690","Chocolate and other food preparations containing cocoa; n.e.c. in chapter 18","666","Chocolate products nes","0","665","661","1","partial"
"0901","Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion","Coffee","0901","Coffee","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","090111","Coffee; not roasted or decaffeinated","656","Coffee; green","0","656","656","1","total"
"0901","Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion","Coffee","0901","Coffee","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","090112","Coffee; decaffeinated, not roasted","657","Coffee; decaffeinated or roasted","0","656","656","1","partial"
"0901","Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion","Coffee","0901","Coffee","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","090121","Coffee; roasted, not decaffeinated","657","Coffee; decaffeinated or roasted","0","656","656","1","partial"
"0901","Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion","Coffee","0901","Coffee","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","090122","Coffee; roasted, decaffeinated","657","Coffee; decaffeinated or roasted","0","656","656","1","partial"
"0901","Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion","Coffee","0901","Coffee","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","090130","Coffee; husks and skins","660","Coffee husks and skins","0","656","656","1","total"
"0901","Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion","Coffee","0901","Coffee","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","090140","Coffee; substitutes containing coffee, in any proportion","658","Coffee substitutes","0","657","656","1","partial"
