fao_product_code,fao_product,extraction_rate_mean,extraction_rate_min,extraction_rate_max,extraction_rate_std,extraction_rate_count,waste_of_supply_mean,waste_of_supply_min,waste_of_supply_max,waste_of_supply_std,waste_of_supply_count,extraction_rate_flag,waste_of_supply_flag
264,butter_of_karite_nuts,0.25833333333333336,0.2,0.35,0.0735980072193987,6,NA,NA,NA,NA,0,1,0
266,oil_castor_beans,0.44000000000000006,0.36,0.63,0.04005947958675829,43,0.006,0.006,0.006,NA,1,1,1
267,sunflower_seed,NA,NA,NA,NA,0,0.030209302325581392,0.0,0.17,0.027521037961058842,43,0,1
268,oil_sunflower,0.3816216216216216,0.25,0.47,0.05381416595663537,74,0.062000000000000006,0.006,0.14,0.069656299069072,3,1,1
269,cake_sunflower,0.5093243243243243,0.3,0.7,0.078919606763649,74,NA,NA,NA,NA,0,1,0
270,rapeseed,0.031,0.031,0.031,NA,1,0.027863636363636365,0.005,0.085,0.020242095352073223,22,1,1
271,oil_rapeseed,0.37777777777777777,0.23,0.45,0.03590693771544196,54,0.046,0.046,0.046,NA,1,1,1
272,cake_rapeseed,0.5653703703703704,0.37,0.63,0.047887957400699184,54,NA,NA,NA,NA,0,1,0
274,oil_olive_residues,0.08031250000000001,0.038,0.25,0.049490361014376656,16,NA,NA,NA,NA,0,1,0
281,oil_safflower,0.331,0.24,0.38,0.035526120857165014,20,0.006,0.006,0.006,NA,1,1,1
282,cake_safflower,0.622,0.55,0.65,0.02930780388260188,20,NA,NA,NA,NA,0,1,0
289,sesame_seed,NA,NA,NA,NA,0,0.03523684210526316,0.0,0.12,0.022710200363911144,38,0,1
290,oil_sesame,0.4513725490196078,0.34,0.59,0.04503419180325709,51,0.006,0.006,0.006,NA,1,1,1
291,cake_sesame_seed,0.4972549019607843,0.2,0.66,0.07136044930835425,51,NA,NA,NA,NA,0,1,0
292,mustard_seed,NA,NA,NA,NA,0,0.033800000000000004,0.006,0.05,0.015717142597449812,15,0,1
294,cake_mustard,0.5333333333333333,0.2,0.7,0.14543039572248986,9,0.021,0.021,0.021,NA,1,1,1
295,flour_mustard,0.7522727272727273,0.45,0.85,0.10519513922238669,22,NA,NA,NA,NA,0,1,0
311,kapokseed_in_shell,NA,NA,NA,NA,0,0.044931034482758626,0.02,0.1,0.01732036587060521,29,0,1
329,cottonseed,0.6083516483516483,0.4,0.72,0.05641638328365527,91,0.03267647058823529,0.002,0.084,0.019288433632990012,34,1,1
331,oil_cottonseed,0.1670212765957447,0.12,0.25,0.02093665752837129,94,0.006,0.006,0.006,NA,1,1,1
332,cake_cottonseed,0.498421052631579,0.37,0.81,0.08685174197439312,95,NA,NA,NA,NA,0,1,0
333,linseed,0.03,0.03,0.03,NA,1,0.029222222222222222,0.005,0.08800000000000001,0.018506409146216873,27,1,1
334,oil_linseed,0.34203389830508474,0.3,0.4,0.01648192960507723,59,0.15866666666666668,0.006,0.45,0.25239915477935604,3,1,1
335,cake_linseed,0.6116949152542374,0.45,0.66,0.03974715528198131,59,0.24333333333333332,0.05,0.5,0.2315887159024233,3,1,1
