,product_code,product_name,asso_lafo,product_group
208,4816,,,paper and paperboard
209,4817,,,paper and paperboard
210,4820,,,paper and paperboard
211,4821,,,paper and paperboard
212,4822,,,paper and paperboard
213,4901,,,paper and paperboard
214,4902,,,paper and paperboard
215,4903,,,paper and paperboard
216,4904,,,paper and paperboard
217,4905,,,paper and paperboard
218,4906,,,paper and paperboard
219,4907,,,paper and paperboard
220,4909,,,paper and paperboard
221,4910,,,paper and paperboard
222,4911,,,paper and paperboard
